,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
age,-0.005008258491584078,0.2380291881355785,0.1023890691855948,-0.07889787820281616,0.11343165563515824,-0.07651980567730253,0.07324576119046176,-0.08026982390450974,-0.07193738476888697,-0.09461665025423571,-0.05324274499556103,-0.05166663482941674,-0.0844609987203048,-0.03224882180105039,-0.07246734148855126,-0.07211280218623742,-0.05983668876300736,0.10331843684534078,-0.0680570860823112,-0.07715630763084949,-0.07868420390616332,-0.08251445528311295,0.07105330597137872,0.07738117794601584,-0.07084547046144811,-0.0769596450510474,0.07339174968311561,0.07759970658228824,-0.09029363649294234,0.04280425814752524,0.09359980371478435,-0.08571204260350303,0.08505602075056592,-0.08791789537773435,0.06902167480783812,-0.07190504106610562,0.1100341002017166,-0.0669333024433112,-0.05047158505072497,-0.09010080900101602,-0.05751758220689858,-0.010321496832832127,-0.10537893643328188,0.07545412196624562,0.08566693027513789,0.07277851086857172,-0.0752593816415732,0.06458666344929766,0.0870028090752789,-0.10205782152580815,0.07610227758985375,-0.07364561554307415,-0.07808428824803328,0.07630551350850437,-0.07499575631647093,0.07756519633432529,-0.076872419545394,-0.07928256171231887,0.08330312172987561,-0.07932466309314477,-0.07325773990658785,0.07508898048334071,0.0774958290164613,0.07559403905589164,-0.07685488238166728,-0.07695749004889825,0.07586476025582088,0.07704429460992168,0.07360704350947449,0.07486414740649415,-0.07791930739573183,0.07796400394529347,-0.07741759977879266,-0.07625733993574696,-0.07675645290058011,0.07663766885398333,0.07357208080465925,0.0956781635274703,0.07736113749058492,-0.07825297454005688,-0.07565717999956977,0.08491632652106827,0.07731950848591151,0.08043383542989678,0.08574858113122534,0.07694844225996572,-0.07733530606503718,0.07689315481137446,-0.07817793499750096,0.07145422417371608,-0.07746827270032876,-0.07815754469256277,0.0773104588058027,-0.06831029614888791,-0.07685605130766876,0.01672522405966247,-0.038785908468430136,-0.07851670467288165,-0.030940376408134407,0.03094037419818307,-0.03094037569430615,-0.030940376055096867,-0.03094037586979603,0.030940375875945256
capital-gain,-0.11885601179496506,0.5333312009386666,0.16708834677693815,0.32227120537070564,0.20722211924250236,0.1195627902691711,0.01213897587901278,-0.10400836325159579,0.039162252041932716,-0.2040343542845141,0.26120626297820304,0.19842694822325657,-0.07424015889913622,0.4449593880055118,0.02530579004283327,0.03597645273215006,0.15505755947585645,0.3745632147643495,0.09979013690104399,0.000733956665318451,-0.025062009578461796,-0.0860717400008718,0.0029912890608372183,-0.04104057161462897,0.05543040555835461,-0.010352441968983873,-0.036843634283582866,0.015757063372528787,-0.1820170275116252,-0.3500693403275803,0.13634125209774486,-0.11358926329113384,0.09461239117891924,-0.2586063620936708,-0.08194115983235135,0.05358507762046692,0.5719624746510431,0.11277138802131503,0.2963172536219732,-0.1890413833392419,0.2253067584766008,-0.751622526317442,-0.8757296114330926,-0.009687524361519432,0.12366680210555732,-0.04938126050161796,0.014953568197308217,-0.1730639216150717,0.10937204390441714,-0.4955071130110112,0.006670725838364874,0.03332645490001999,-0.01725410930771959,-0.0026417489172324807,0.019487109614817043,0.019972905662578592,-0.007215332509583113,-0.03961293496640174,0.09821052945459056,-0.04146620812010557,0.03715150616348608,-0.027701824896681014,0.013978843412648661,0.009987034384435902,-0.005787686282089119,-0.0072590753941703485,-0.01000974471876515,0.008336063280562507,-0.03194239395018404,-0.017306020032736687,-0.021877142985972237,0.021827199613763126,-0.017823865078332814,0.001776034966064107,-0.0047864423973607555,0.0050929229295261546,-0.0359868926547541,0.7703764925639282,0.011566581831981504,-0.027430006706031986,0.005607874435086643,0.08489016069257765,0.01232627749769558,0.022992316407529585,0.20506483136550865,0.005102446956401046,-0.014420597978243445,0.006479905918249275,-0.024458621127060935,-0.0664770255358491,-0.013308196140889138,-0.011194766192584454,0.002669203432991788,-0.9956552814109036,-0.006405569902598416,0.7937944026268609,0.3891322282236902,-0.04298829608149769,-0.12514645929191157,0.1251464591405879,-0.12514645905225494,-0.12514645927494425,-0.12514645911183436,0.12514645910544905
capital-loss,-0.008724610678916996,0.05190923993611653,0.00920548179351299,0.004936837012212416,0.009574498630178228,-0.0032114901672529762,0.003780109563094831,-0.0056774159315062045,-0.004121243850898252,-0.0010902812291935533,-0.009013143856342906,-0.004521951008592,-0.0037280375192804403,-0.015114739047420068,-0.010139085967980474,-0.005038393377559447,-0.0043511995981012005,-0.00368473349233709,-0.005323316628106049,-0.004197365757674962,-0.00334175756881446,-0.002467145605135721,0.0011097271840950654,0.010706810928678505,-0.006226723043720743,-0.004154977070065013,0.005264646868681033,0.004239093481343742,-0.0005459944860327084,0.00927655096982222,0.006814282830152825,-0.0006042108619683493,0.0019878697807577893,0.004551216323492431,0.004448566414538821,-0.004638493272954644,-0.009661168645383595,-0.007437844842287745,-0.012108450789867201,-0.0015761073549300831,-0.009542564489098439,0.023889164233962378,0.018897752740152186,0.003940575441456678,0.0036477497073595924,0.00588643200818035,-0.00430434579300592,0.0063419035531422085,-0.0035555649921490376,0.008823898371660813,-0.003843489159447568,-0.003239471460355004,-0.005044400374999594,0.006572990504142847,-0.004514732020972711,0.0017925592088299015,-0.004496989805399965,-0.002823543011037793,-0.001094629483442157,-0.003641504386276485,-0.0029629526189764977,0.015008501050969477,0.003679751824493709,-0.01555268617608187,-0.005209075860719678,-0.0033755572079426106,0.005124548033388903,0.005370799301374929,0.004331433915787083,0.0031733976171665745,-0.0018988763204924658,0.002577167828044761,-0.0023044702943470323,-0.004875962957344109,-0.0055378219723216954,0.003189772614436137,0.00522073614123961,-0.048196041524833755,0.005630235264449117,0.0009606390850343324,0.0015974184181174523,0.03273522781906593,0.0038480224769759197,0.016070732629197188,-0.2227835823066092,0.006672371345740461,-0.0017467811485270782,0.0026127595900181967,-0.0011363848549180695,0.0018236320427760678,-0.003348409358857559,-0.007113516428158131,0.01683358789374168,0.1073892549766131,-0.0043779414556274045,0.002895753566604962,-0.001630430792948276,-0.004261182246594058,-0.08097193775336095,0.08097193772016438,-0.08097193773472217,-0.08097193774633052,-0.08097193774767468,0.08097193774824343
education_10th,-0.019499419060091443,-0.03047996670727583,-0.01699619664420636,0.005559807935162595,-0.019374826641515484,0.007843245182212537,-0.012050202337861683,0.0170775982747229,0.00913556212437683,0.01515838748277227,0.011852893118316275,-0.0006762027968229954,0.010504488790082008,0.055036471537933125,0.02506521282091574,0.0116110545449811,0.0320441975701696,-0.01475604966825208,0.005989315585074288,0.010947717187229684,0.011619549934095025,0.01316635172910516,-0.011308765588008732,-0.007323931383873665,0.010479569539753354,0.011619612284895402,-0.010912439290613614,-0.011321117419384257,0.013989839918206187,-0.014294004115100938,0.001305092680987904,0.003196018180124554,-0.012008660614219275,0.01332557260347612,0.0037913235650310693,0.013249589217798544,-0.026426071293706256,0.0089239935562336,0.00393491233644484,0.014436674331214466,0.006693066282883599,0.0054974437566042015,0.01718200896464812,-0.010811630279828451,-0.013404153347326784,-0.010152691595980973,0.010797877207082906,-0.007697614282286666,-0.012934801020320554,0.018445136594708318,-0.011044243985613213,0.010432997379844525,0.011371085136719796,-0.011044627483167873,0.010713572712726455,-0.011368169257818124,0.011191772267796822,0.011733808132574242,-0.012711836631098343,0.011765949430725899,0.010372091318734485,-0.010696237030036842,-0.01130257798863228,-0.011005442135086243,0.01121278282554889,0.011159151432102422,-0.010863712434975584,-0.011228925975269427,-0.010495622233778942,-0.010730978134964432,0.011423427313844025,-0.01143118330588529,0.011340604831830742,0.011038345845794313,0.011166967855697336,-0.011135271759685927,-0.010425597167118803,-0.02006474196333443,-0.011285667154217624,0.011467819558476845,0.010881452392175943,-0.012935336588310661,-0.011271284371424854,-0.011554218979909459,-0.01070028106269326,-0.011188860312157909,0.011278490315294027,-0.011152694339509626,0.01145586158436278,-0.009802721677154293,0.011285483858883567,0.01130913145543153,-0.011288015212317785,0.015598375732794737,0.011175767630351852,-0.0075209311810811065,0.0033234818376147203,0.011795466352960079,0.2713831673922149,-0.27138316737766904,0.2713831673910027,0.2713831673897834,0.27138316739121404,-0.27138316739137236
education_11th,-0.02101804840852895,-0.047676874888141596,-0.018367196829201616,0.007175007634106615,-0.023822929162134972,0.008153160698849013,-0.010108037908915438,0.016775444693291678,0.007559639078457573,0.01620688790537108,0.015306938001300863,0.0017846427321757767,0.009399233496434116,0.062205950489225906,0.026137118340189867,0.009936460525291948,0.0414110811176287,-0.015464223068971364,0.005157360838666798,0.009817184115955337,0.010859869284773269,0.013448766524580921,-0.01008329485892249,-0.0069496399407925485,0.009609822375515461,0.011789447037503276,-0.010963401994615934,-0.009596995351231128,0.012902781551299286,0.03400696525996885,-0.04311951467420456,0.020787113188714047,-0.011850867265837377,0.01632173385037946,-0.00757233450205482,0.009368858485933093,-0.025845579509583806,0.0071721864379086136,0.0018035551058899302,0.01447180621144927,0.004455320544644912,0.010321974898678464,0.022935328344582884,-0.00973053792247276,-0.013069205862237285,-0.008859131975533412,0.009668987651629584,-0.005850728620295903,-0.012810848250467655,0.020209587811628685,-0.009996295525790583,0.009190925380302159,0.010452478038847636,-0.010006214795849016,0.009575007202616694,-0.010423494421400732,0.010191729729738643,0.010915342259126276,-0.01225062974022848,0.010956890476107407,0.00910511078689478,-0.009561388075554204,-0.01035102279627017,-0.00997160728616274,0.010206710542045808,0.010162411587485176,-0.009787478612957772,-0.010239092211225919,-0.009253400482443082,-0.009586793067200958,0.010503721250246133,-0.010518111015739661,0.01037544891010041,0.009992782797139619,0.010158905628776178,-0.010117321170760753,-0.009185814630603294,-0.022994333366332692,-0.010320411606259933,0.010571399656143466,0.00980252072269395,-0.012528088484340153,-0.010302300040516525,-0.010739476839538962,-0.010646871756469023,-0.010195725307681923,0.010312950988436648,-0.010155846051776564,0.01056425017489035,-0.008407035309213802,0.010331179123938664,0.010412053583831741,-0.010311399391952693,0.021056619897646144,0.010173232760174792,-0.01281375421234767,0.000155854949886944,0.01089417464852659,0.23500639767554887,-0.23500639764753337,0.23500639766784115,0.2350063976708625,0.23500639766963763,-0.23500639766976808
education_12th,-0.025775691225789012,-0.02875003829554233,-0.013881109732223628,0.0075856081859361005,-0.016035934742792957,0.007750893417375445,-0.008799895091358485,0.012213193723707329,0.007558025254056127,0.012256009655501117,0.009484858050903025,0.0018949930519630586,0.009047294577172627,0.022503519594821157,0.01610048307663337,0.008348956564857568,0.020120593457006328,-0.01208993286578902,0.006566684326214496,0.008768274674344087,0.009213066678388346,0.01005706215734159,-0.00827868664698991,-0.007454329019628313,0.008013118495202632,0.00886885769013594,-0.008305612123352624,-0.008901546362053689,0.011080808364445971,-0.0051868433531433045,-0.007866346840324917,0.008893495483667583,-0.009787175786948887,0.01188172407124648,-0.007481573299216687,0.007605731441781195,-0.009371533613468253,0.007511327422253089,0.006803862637530151,0.010495163478244111,0.005772864329626806,0.012156694291092193,0.07463847892920625,-0.00800979917187924,-0.011264341483688248,-0.0080639818684764,0.008396589832111548,-0.006669886991066943,-0.01043148981304984,0.013413231397794191,-0.00864189292952868,0.008172229457081839,0.008911393865142598,-0.008671125989887299,0.008391780231895688,-0.008872507016719417,0.008757624759429506,0.009184237162498571,-0.009943304784500668,0.00920497622905786,0.008089225696265065,-0.008453842216008275,-0.008850713333831944,-0.008469432258874107,0.008747684185110315,0.008740505042486269,-0.008535766649516333,-0.008788173083588141,-0.008185666564352764,-0.008386596686027332,0.008924913787340658,-0.00893814719691316,0.008855456197337958,0.008640445549190948,0.008743806674415704,-0.008704674741380558,-0.00815668122507553,-0.015117376310162316,-0.008842066136756518,0.008949494451697909,0.008482130032417828,-0.010337478162276086,-0.008820168493629096,-0.009182009632941168,-0.0074425180842328685,-0.008773328850287468,0.0088125435549265,-0.008723327414382169,0.008955914542493497,-0.007666799969497218,0.008833052818070166,0.008904691082716696,-0.008910752254727159,0.0117954465110292,0.008745785686476304,-0.00612425911899182,0.002473608014932145,0.00918201179007497,0.09438386770996317,-0.0943838675626338,0.09438386766289687,0.09438386768641449,0.09438386767452214,-0.09438386767495546
education_1st-4th,-0.066975232821461,-0.025570168873327758,-0.03366231594916549,0.023578019689216644,-0.0333045169537017,0.02836948408600763,-0.03235203075927961,0.03447474496508454,0.02897235731502195,0.03233536528768273,0.022070690354917436,0.0178478568808327,0.029876654388206334,0.021411960969598624,0.03667997658858115,0.031661138698637493,0.030058152522070728,-0.028413684043641863,0.03142165326060627,0.03173166998985289,0.03117072826516089,0.03191175009677984,-0.031175026126316455,-0.02967544002414153,0.03089599850782686,0.03108136009438097,-0.03043155939010612,-0.03093407746511905,0.03169524368740709,-0.025995140497864663,-0.030196187416542526,0.031474758076661134,-0.030882404278376026,0.03286308706840279,-0.029482359177156674,0.02985908156581289,-0.029658317469726674,0.02913567483175614,0.027122973650904745,0.03243489126287401,0.028167318299653566,-0.014263326924347747,0.023764412934426712,-0.030541260238708838,-0.031489318478411424,-0.030572645869383314,0.030524872928193256,-0.016418914093972885,-0.02495771690389755,0.05232915946522339,-0.029860588156538522,0.030054410137515992,0.03063329687631095,-0.03043436985534913,0.03030115189628368,-0.030706138032143605,0.030635167205749558,0.030952134452191887,-0.031356122516724504,0.030884912523227108,0.030160811551198048,-0.030240349937487556,-0.030717417705768083,-0.03033308428087478,0.030637432429309237,0.030628895182980585,-0.03045300476439765,-0.030667557215290766,-0.030278189520122303,-0.030427112807522784,0.030789113952087485,-0.030781168176815702,0.03074287431318713,0.030571023875415174,0.030642595747502506,-0.030626499016098166,-0.030229780783080962,-0.026752500855420656,-0.030699308503425782,0.030789866318565735,0.030486312744249722,-0.031436349884001874,-0.03069232033839429,-0.030765733469916484,-0.028792038776780847,-0.03064706759419365,0.030697510436500756,-0.030626695311160176,0.030778441884312144,-0.029840247834397586,0.03069518452029739,0.030675514250465434,-0.030696247649154313,0.0069093876842461575,0.030644972583010025,0.011098273593854215,0.024562923602869918,0.031008893825484676,0.22401044232355932,-0.2240104416891104,0.22401044212738327,0.22401044222259173,0.22401044217563507,-0.22401044217767296
education_5th-6th,-0.08402233558298584,-0.0300172792214505,-0.04291974527021123,0.030527785834052787,-0.04323158746842019,0.03652732426233765,-0.04120754048646489,0.04411563770348866,0.03678135013638168,0.04091043882769437,0.028488058239227364,0.02173043168807949,0.03812486304186184,0.033171919842569314,0.04760504685382404,0.04122467747810484,0.03952832326727288,-0.035333226848447113,0.03993853341120776,0.04102252749367534,0.03988399115809561,0.04078722582374405,-0.03894398922018961,-0.03781017869848428,0.03956551600454405,0.03974397102377963,-0.03899349954237129,-0.03949317680399971,0.039910739555359495,-0.03354608577084192,-0.03682571948253235,0.039847404011016066,-0.03955470790235642,0.04074761122620358,-0.03786620601956299,0.038109081871880696,-0.03590935614987543,0.03708861342436895,0.03603302999242349,0.04222759391109379,0.037266409027725586,-0.025221057747838845,0.032165398896766735,-0.03960792613124561,-0.039922869666888745,-0.03629925046027336,0.038499293363549285,-0.036817421806671254,-0.03972476655579909,0.04056114768783102,-0.03888782271342869,0.03860624273974308,0.039157985278529726,-0.03895459374422078,0.03876113527269213,-0.039187658249761864,0.03908353899694326,0.03937936275651777,-0.039810034128128204,0.03934098560990605,0.038618214255465105,-0.038732906065945795,-0.03915791636074739,-0.038990811552496715,0.0391096408539903,0.039068653616373475,-0.038877857884461416,-0.039111932675609924,-0.038696716890618155,-0.038826571812118446,0.0392305424241033,-0.03922925986509507,0.03918751813315595,0.03900569867068265,0.03908038719994522,-0.039067763319468964,-0.03863490406366429,-0.03271161265461328,-0.0391422407850798,0.03924901193553481,0.03892487729194722,-0.039866914307727735,-0.03913839299610047,-0.039202542197064295,-0.037380512533067976,-0.039084353587628025,0.03914610731397391,-0.03907036399072733,0.039234721066130136,-0.03821562317079288,0.03914228944471451,0.03911928660811776,-0.03911865607251472,0.007300886626884361,0.03908587330846659,0.015658944669558847,0.03206060553450872,0.03946316050341267,0.2825270124449392,-0.28252701163224825,0.282527012193919,0.2825270123155718,0.28252701225562116,-0.2825270122582396
education_7th-8th,-0.016766090850527757,0.0037062687994786534,-0.0023010081133050123,-0.011762834319502102,-0.002920162950040271,-0.007964023516324624,0.0013991306901510372,0.0036658996935792355,-0.004851441555654481,0.0008489886507850927,-0.00952113830313944,-0.014909176004808887,-0.0031636346422846116,0.024171566209832806,0.006843093090977012,-0.001750940666533317,0.008526809077646547,0.0012145275607530423,-0.006443287815814774,-0.002367458898216255,-0.0024149527244249464,-0.0002922572873533929,0.001510799906983578,0.005076321306837611,-0.003007532669893999,-0.0022281571823955532,0.003136203468647745,0.002496925191877523,8.664328324540614e-05,0.006232259593670365,0.006368283964734786,-0.002550371353581505,0.00289191847528418,0.003174011809542578,0.004285051576240424,-0.004678455223592544,0.016327214920736643,-0.0037139685324809077,-0.01366287249900337,0.0005672468349711818,-0.006787234779759903,0.015657504617834803,0.004570830520880393,0.0030695685052426957,0.0004909864761202817,0.003723010898691891,-0.0031183272685843732,0.005895602827571202,0.0013798698053780632,0.006125053100747831,0.00284199815136726,-0.003420085616441851,-0.0025885910124841746,0.0028604338705578236,-0.0031723760696997214,0.002535179407187594,-0.0027154695124661245,-0.0021990710694324944,0.0012555087766217721,-0.0021741608772467558,-0.0034493729547616465,0.0032378401154131236,0.0026246881417456426,0.0028148417442609105,-0.00269099150764132,-0.00275679153206703,0.0030564103420843186,0.0026843268622694255,0.003320021480122474,0.003130041073443741,-0.0024961775590628863,0.002495336906378251,-0.002550867881667834,-0.002862495551236735,-0.002741006955474757,0.0027620027896220877,0.003416813871126889,-0.011328813231580916,0.0026395763368375776,-0.002456229529287342,-0.0029994623900469627,0.0012131028137609937,0.002647623407483289,0.002575479187999606,0.0030320209710872933,0.0027365420496127503,-0.0026326718169494335,0.0027658756001843086,-0.0024825642544205155,0.004018805324565695,-0.0026459882848562095,-0.0027118576816472823,0.002667632711537363,0.015154122564435707,-0.0027335621808147383,-0.014631700755935678,-0.008811016507139719,-0.002013053099902067,0.33386190214773104,-0.33386190261007515,0.33386190229910867,0.3338619022213656,0.33386190226175955,-0.33386190226054474
education_9th,-0.03115722814834787,-0.01740463276478611,-0.01562468188862676,0.0041044191338064405,-0.01680274775309587,0.008001229224662324,-0.012586226783601405,0.016203123023032964,0.009574144424694186,0.014429969358187964,0.008363566049189615,-0.0004169640869400123,0.010848560410396215,0.03614956814075997,0.019560708838608425,0.011816272546842341,0.02090949810515548,-0.01317470251469233,0.00857491785572313,0.011629344885918711,0.011728065683295682,0.012506495628485761,-0.011016203240649279,-0.0099495535147879,0.010714041922574488,0.01157255871305633,-0.010823186466374207,-0.011361613985923556,0.01318762354587475,-0.007928900833740041,-0.009986285802022156,0.011140096078238033,-0.012083494877215755,0.014151072674709322,-0.010013129282591527,0.009915393512744133,-0.00969892337158951,0.009661516173529134,0.012900751461148599,0.014299010945123116,0.0032044022106117263,0.013941770443277476,-0.006243660253845439,-0.010667065688403829,-0.013104372566836019,-0.010280249820696833,0.010819470406215234,-0.00875999977440066,-0.012357088271714943,0.016199129028958793,-0.010949164379181513,0.010548462011614098,0.011267958298874163,-0.011039347339053172,0.010767116429107097,-0.011262560385012065,0.011139227294540808,0.011537209966251377,-0.012234710836636131,0.01157457108079179,0.010511918402328378,-0.010813360630805971,-0.011217940509914962,-0.010873034067479198,0.011160024277033715,0.011108465928922442,-0.010891386369858968,-0.011174578645499185,-0.010621790789519837,-0.010787285531797794,0.0113022514010677,-0.011309704214117894,0.011248292103981752,0.01102730092331506,0.01112933369316843,-0.011092775356387597,-0.010565698898427919,-0.016776357475455965,-0.011217790502426122,0.01131620691994419,0.010868568488319333,-0.01259129440505022,-0.01119741485029888,-0.01145288565981679,-0.009143168292273457,-0.01114906737784891,0.011191181741138263,-0.01109758500026703,0.011315363804390181,-0.01006124921632255,0.011201648822767432,0.01122219893878798,-0.011282585175867185,0.01098538568385823,0.01112885895013889,-0.0040311106988902504,0.004979089294758737,0.011628958248498534,0.24766167805231806,-0.24766167801234476,0.24766167804335928,0.24766167804588873,0.24766167804554023,-0.2476616780457855
